order_item_id,order_id,product_id,quantity,unit_price
1,1370,103,2,579.90
2,2659,115,2,619.90
3,2987,118,1,629.90
4,3126,105,1,779.90
5,3583,169,1,494.91
6,3982,200,2,1499.90
7,6779,171,3,529.90
8,6779,135,2,1187.40
9,7449,170,2,6219.90
10,7449,135,1,1249.90
11,8368,219,1,588.90
12,8368,123,1,339.90
13,8368,114,1,386.91
14,8866,143,2,389.90
15,8866,206,1,314.91
16,8866,115,4,588.90
17,8866,112,1,2329.90
18,8866,118,1,629.90
19,9135,201,1,239.90
20,9742,123,1,305.91
21,9742,187,1,519.90
22,10086,214,2,209.90
23,10257,191,1,2989.90
24,10257,187,1,519.90
25,10257,136,1,1349.90
26,10826,208,1,359.90
27,10826,107,1,4065.90
28,11345,137,2,4229.90
29,11345,121,4,489.90
30,11345,207,1,602.91
31,11765,117,1,7115.40
32,11765,122,1,269.90
33,12277,176,1,2219.90
34,12277,102,2,314.91
35,12372,138,1,589.90
36,12372,193,1,1849.90
37,12372,197,3,589.90
38,12694,158,1,5929.90
39,2340,111,1,566.91
40,2367,151,2,819.90
41,2367,106,2,1263.40
42,4591,217,1,1069.90
43,4591,129,1,1299.90
44,4744,214,2,209.90
45,4848,112,1,2213.41
46,6336,188,1,1249.90
47,6336,141,1,599.90
48,6732,134,2,6139.90
49,6732,128,4,669.90
50,7162,208,1,341.90
51,7162,171,1,529.90
52,7469,215,3,1419.90
53,7469,146,4,289.90
54,7696,182,2,529.90
55,8706,174,2,104.41
56,8706,173,1,909.90
57,10169,121,2,489.90
58,10910,199,3,849.90
59,11157,203,1,1419.90
60,11157,162,1,3229.90
61,12193,142,3,881.91
62,12193,108,1,1979.91
63,12344,217,4,1016.41
64,12344,203,1,1348.90
65,12344,162,1,3229.90
66,12435,152,1,474.90
67,12435,157,3,1099.90
68,12960,209,4,249.90
69,2273,216,2,1044.90
70,2378,110,1,1389.90
71,4316,120,1,369.90
72,4316,160,2,2339.90
73,4620,119,3,499.90
74,4758,212,1,1069.90
75,4758,179,2,8059.90
76,4758,183,2,599.90
77,5881,205,1,209.90
78,6167,110,1,1389.90
79,6311,140,2,709.90
80,6403,180,2,331.41
81,6403,162,1,3068.40
82,6403,121,1,489.90
83,6403,191,2,2989.90
84,6878,193,1,1757.40
85,6878,129,2,1299.90
86,8144,106,2,1329.90
87,8144,110,2,1250.91
88,8475,191,2,2989.90
89,8475,163,1,2859.40
90,8475,104,2,539.90
91,8652,190,1,178.41
92,8652,130,1,1229.90
93,9533,119,1,499.90
94,9533,158,1,5336.91
95,10924,103,2,579.90
96,12019,205,1,209.90
97,12019,157,1,1099.90
98,12019,161,1,379.90
99,12019,138,2,560.40
100,1281,211,1,1489.90
101,1440,168,3,987.91
102,2837,106,1,1329.90
103,2837,101,1,1549.90
104,2837,164,1,417.90
105,3704,151,1,819.90
106,4132,179,2,8059.90
107,4132,106,2,1329.90
108,4132,141,4,599.90
109,4132,113,1,2249.90
110,4132,209,1,249.90
111,4689,101,1,1549.90
112,4689,201,2,215.91
113,5350,106,1,1329.90
114,5350,208,1,341.90
115,5350,115,3,619.90
116,6000,172,1,429.90
117,6000,120,1,351.40
118,6000,196,3,1448.91
119,6048,165,2,889.90
120,6048,181,1,206.91
121,6048,150,1,246.90
122,6048,116,2,589.90
123,6595,205,2,209.90
124,6789,121,3,440.91
125,7362,192,1,1729.90
126,7554,119,3,499.90
127,7554,218,1,864.40
128,7554,142,4,979.90
129,7554,207,2,669.90
130,8780,138,1,589.90
131,8780,119,1,424.91
132,8780,133,1,759.90
133,10746,142,2,979.90
134,10746,137,1,4018.40
135,11105,101,1,1549.90
136,11489,179,1,8059.90
137,11489,203,1,1419.90
138,11699,207,2,636.40
139,12196,167,2,439.90
140,12387,171,2,529.90
141,12387,102,1,314.91
142,1920,179,1,8059.90
143,1920,156,1,679.90
144,1920,130,1,1168.40
145,3373,149,1,689.90
146,5435,178,2,1919.90
147,5435,209,2,249.90
148,5435,156,3,679.90
149,5475,164,1,373.91
150,5475,116,1,589.90
151,5475,154,2,739.90
152,6251,134,1,6139.90
153,6251,194,1,645.90
154,6521,189,2,7249.90
155,6627,126,1,479.90
156,6894,128,3,669.90
157,6894,182,3,503.40
158,7250,201,2,227.91
159,7699,155,3,379.90
160,7699,142,1,979.90
161,7699,133,1,759.90
162,8154,155,1,379.90
163,8154,189,1,6524.91
164,8154,140,1,709.90
165,8494,209,1,249.90
166,8494,139,2,3491.91
167,9266,146,4,289.90
168,9266,216,1,934.92
169,9938,132,1,195.41
170,11031,128,1,669.90
171,11031,145,1,659.90
172,11527,177,2,549.90
173,11527,194,1,679.90
174,11527,198,2,689.90
175,12638,201,3,239.90
176,12638,129,1,1299.90
177,12752,160,1,2339.90
178,12752,182,4,503.40
179,12752,151,1,819.90
180,5649,213,1,370.40
181,5649,112,1,2329.90
182,5649,115,3,619.90
183,5649,219,1,619.90
184,5836,110,1,1389.90
185,6395,218,1,864.40
186,6395,152,1,449.91
187,6395,144,1,139.90
188,6452,214,1,199.41
189,8570,198,3,689.90
190,8570,118,1,566.91
191,8570,116,1,589.90
192,9150,175,2,2009.90
193,10527,118,2,629.90
194,10870,187,1,519.90
195,10870,149,1,689.90
196,10870,143,1,389.90
