order_id,customer_id,order_date,status,payment_method
1370,736,2024-01-01,completed,credit_card
2659,248,2024-01-01,completed,credit_card
2987,411,2024-01-01,completed,pix
3126,834,2024-01-01,completed,boleto
3583,782,2024-01-01,completed,pix
3982,715,2024-01-01,completed,boleto
6779,227,2024-01-01,completed,credit_card
7449,150,2024-01-01,completed,boleto
8368,1071,2024-01-01,completed,boleto
8866,339,2024-01-01,cancelled,boleto
9135,967,2024-01-01,completed,pix
9742,60,2024-01-01,completed,pix
10086,162,2024-01-01,completed,boleto
10257,994,2024-01-01,completed,boleto
10826,428,2024-01-01,completed,debit_card
11345,192,2024-01-01,completed,pix
11765,195,2024-01-01,completed,debit_card
12277,610,2024-01-01,completed,debit_card
12372,1011,2024-01-01,cancelled,boleto
12694,795,2024-01-01,completed,debit_card
2340,756,2024-01-02,completed,boleto
2367,50,2024-01-02,cancelled,pix
4591,1110,2024-01-02,completed,boleto
4744,1129,2024-01-02,completed,pix
4848,971,2024-01-02,completed,pix
6336,80,2024-01-02,completed,boleto
6732,599,2024-01-02,completed,boleto
7162,953,2024-01-02,completed,credit_card
7469,1135,2024-01-02,completed,credit_card
7696,571,2024-01-02,completed,boleto
8706,1036,2024-01-02,completed,credit_card
10169,724,2024-01-02,completed,debit_card
10910,1017,2024-01-02,completed,credit_card
11157,804,2024-01-02,returned,boleto
12193,350,2024-01-02,completed,credit_card
12344,1092,2024-01-02,completed,pix
12435,338,2024-01-02,completed,pix
12960,1080,2024-01-02,completed,pix
2273,1165,2024-01-03,completed,debit_card
2378,305,2024-01-03,cancelled,pix
4316,358,2024-01-03,completed,debit_card
4620,290,2024-01-03,completed,pix
4758,118,2024-01-03,completed,boleto
5881,28,2024-01-03,completed,pix
6167,686,2024-01-03,returned,boleto
6311,745,2024-01-03,completed,boleto
6403,45,2024-01-03,completed,pix
6878,364,2024-01-03,completed,pix
8144,1182,2024-01-03,completed,credit_card
8475,1075,2024-01-03,cancelled,debit_card
8652,484,2024-01-03,completed,debit_card
9533,392,2024-01-03,completed,credit_card
10924,706,2024-01-03,completed,boleto
12019,270,2024-01-03,completed,boleto
1281,519,2024-01-04,completed,credit_card
1440,988,2024-01-04,completed,credit_card
2837,1005,2024-01-04,completed,pix
3704,522,2024-01-04,completed,debit_card
4132,835,2024-01-04,cancelled,credit_card
4689,259,2024-01-04,completed,credit_card
5350,1171,2024-01-04,completed,credit_card
6000,911,2024-01-04,completed,pix
6048,265,2024-01-04,completed,boleto
6595,452,2024-01-04,cancelled,credit_card
6789,1109,2024-01-04,completed,pix
7362,1179,2024-01-04,completed,pix
7554,471,2024-01-04,completed,pix
8780,140,2024-01-04,completed,boleto
10746,684,2024-01-04,completed,credit_card
11105,1016,2024-01-04,returned,credit_card
11489,63,2024-01-04,completed,pix
11699,321,2024-01-04,cancelled,debit_card
12196,294,2024-01-04,completed,credit_card
12387,848,2024-01-04,completed,credit_card
1920,356,2024-01-05,cancelled,debit_card
3373,678,2024-01-05,cancelled,pix
5435,491,2024-01-05,completed,debit_card
5475,20,2024-01-05,completed,pix
6251,561,2024-01-05,returned,debit_card
6521,415,2024-01-05,completed,credit_card
6627,377,2024-01-05,completed,boleto
6894,697,2024-01-05,completed,boleto
7250,919,2024-01-05,completed,pix
7699,1120,2024-01-05,completed,boleto
8154,1148,2024-01-05,completed,credit_card
8494,869,2024-01-05,completed,boleto
9266,1013,2024-01-05,completed,credit_card
9938,1190,2024-01-05,completed,pix
11031,65,2024-01-05,completed,credit_card
11527,799,2024-01-05,completed,debit_card
12638,356,2024-01-05,completed,boleto
12752,729,2024-01-05,completed,credit_card
5649,860,2024-01-06,completed,credit_card
5836,964,2024-01-06,completed,debit_card
6395,259,2024-01-06,completed,boleto
6452,1185,2024-01-06,returned,pix
8570,701,2024-01-06,completed,pix
9150,1178,2024-01-06,completed,credit_card
10527,16,2024-01-06,completed,credit_card
10870,970,2024-01-06,cancelled,boleto
11128,257,2024-01-06,completed,boleto
12611,1148,2024-01-06,completed,credit_card
1308,683,2024-01-07,completed,boleto
1566,560,2024-01-07,completed,debit_card
2137,1008,2024-01-07,returned,credit_card
2821,53,2024-01-07,completed,boleto
3131,1044,2024-01-07,completed,debit_card
3404,1153,2024-01-07,completed,credit_card
4260,266,2024-01-07,completed,pix
4518,1100,2024-01-07,completed,credit_card
4632,121,2024-01-07,completed,boleto
5088,1103,2024-01-07,completed,credit_card
5312,628,2024-01-07,completed,pix
5764,23,2024-01-07,completed,boleto
5884,796,2024-01-07,completed,debit_card
7533,51,2024-01-07,completed,boleto
7598,1146,2024-01-07,completed,credit_card
7675,920,2024-01-07,completed,credit_card
7952,990,2024-01-07,completed,debit_card
8433,453,2024-01-07,completed,debit_card
8751,755,2024-01-07,completed,boleto
9396,493,2024-01-07,completed,credit_card
10820,213,2024-01-07,completed,debit_card
11035,218,2024-01-07,completed,debit_card
11144,289,2024-01-07,returned,debit_card
11388,231,2024-01-07,completed,debit_card
12811,217,2024-01-07,completed,credit_card
1122,387,2024-01-08,completed,debit_card
1469,183,2024-01-08,completed,boleto
5461,588,2024-01-08,completed,credit_card
5587,55,2024-01-08,completed,boleto
6329,346,2024-01-08,completed,pix
6342,895,2024-01-08,completed,boleto
7737,401,2024-01-08,cancelled,boleto
7740,1016,2024-01-08,completed,boleto
8637,1189,2024-01-08,completed,credit_card
8731,730,2024-01-08,completed,debit_card
9221,856,2024-01-08,completed,pix
9406,216,2024-01-08,completed,credit_card
9444,466,2024-01-08,completed,credit_card
10316,646,2024-01-08,completed,pix
11313,269,2024-01-08,completed,pix
11811,214,2024-01-08,completed,debit_card
11856,1,2024-01-08,completed,credit_card
1700,805,2024-01-09,cancelled,boleto
2017,578,2024-01-09,completed,boleto
3755,352,2024-01-09,completed,boleto
4921,717,2024-01-09,completed,credit_card
6530,459,2024-01-09,completed,pix
6741,422,2024-01-09,completed,boleto
7073,524,2024-01-09,completed,debit_card
7108,403,2024-01-09,completed,boleto
7897,680,2024-01-09,completed,boleto
8657,613,2024-01-09,completed,credit_card
8822,1163,2024-01-09,completed,boleto
9004,112,2024-01-09,completed,debit_card
9228,701,2024-01-09,completed,pix
10839,347,2024-01-09,completed,pix
11272,682,2024-01-09,completed,pix
12932,855,2024-01-09,completed,pix
1086,1024,2024-01-10,completed,pix
1121,600,2024-01-10,completed,pix
1927,41,2024-01-10,completed,boleto
2026,727,2024-01-10,completed,boleto
2675,733,2024-01-10,returned,pix
2761,735,2024-01-10,completed,debit_card
3470,699,2024-01-10,completed,credit_card
4666,1108,2024-01-10,completed,boleto
4972,276,2024-01-10,completed,boleto
5332,552,2024-01-10,completed,boleto
5344,341,2024-01-10,completed,pix
6557,67,2024-01-10,completed,pix
6807,1009,2024-01-10,completed,pix
7062,988,2024-01-10,cancelled,boleto
7269,460,2024-01-10,completed,boleto
7385,859,2024-01-10,completed,boleto
8013,355,2024-01-10,completed,pix
